IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.1,,,16.6,,17.6,17.1 [16.6 – 17.6],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.2,,,16,,18.5,17.2 [16 – 18.5],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,IRL,Ireland,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.2,,,16.7,,17.6,17.2 [16.7 – 17.6],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,SVK,Slovakia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.3,,,16.8,,17.9,17.3 [16.8 – 17.9],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.6,,,16.8,,18.5,17.6 [16.8 – 18.5],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.6,,,17,,18.2,17.6 [17 – 18.2],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AMR,Americas,Country,KNA,Saint Kitts and Nevis,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.6,,,17.2,,18,17.6 [17.2 – 18],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.9,,,17,,18.8,17.9 [17 – 18.8],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,FRA,France,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.9,,,17.3,,18.4,17.9 [17.3 – 18.4],,,EN,2018-08-24T03:00:00.000Z
SA_0000001751,"Alcohol, average daily intake in grams among drinkers with 95%CI",numeric,EUR,Europe,Country,POL,Poland,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,17.9,,,17.3,,18.4,17.9 [17.3 – 18.4],,,EN,2018-08-24T03:00:00.000Z
